TXT DosyaNo;esasNo;kararNo
005311;2020-1575;2022-206
005312;2019-5742;2022-212
005313;2019-3480;2022-218
005314;2019-2673;2022-216
005315;2022-327;2022-226
005316;2020-1712;2022-194
005317;2019-3249;2022-217
005318;2020-1585;2022-208
005319;2020-1563;2022-175
005320;2022-770;2022-162
005321;2020-1695;2022-211
005322;2020-1543;2022-201
005323;2020-1545;2022-202
005324;2020-1566;2022-176
005325;2020-1692;2022-210
005326;2020-1576;2022-207
005327;2020-1587;2022-209
005328;2020-1562;2022-205
005329;2019-3652;2022-221
005330;2021-11561;2022-159
005331;2020-1433;2022-198
005332;2022-923;2022-180
005333;2020-1530;2022-199
005334;2020-1420;2022-195
005335;2021-11761;2022-178
005336;2022-226;2022-179
005337;2022-73;2022-225
005338;2020-1560;2022-204
005339;2020-1430;2022-197
005340;2020-1422;2022-196
005341;2021-10395;2022-1046
005342;2020-7553;2022-1061
005343;2020-5644;2022-1059
005344;2020-4843;2022-1039
005345;2019-17951;2022-1038
005346;2018-805;2022-527
005347;2020-3621;2022-384
005348;2018-4583;2022-371
005349;2017-415;2022-483
005350;2018-3819;2022-406
005351;2019-2729;2022-402
005352;2018-3737;2022-373
005353;2020-2176;2022-403
005354;2021-1298;2022-401
005355;2018-3818;2022-405
005356;2019-13805;2022-1036
005357;2021-2061;2022-376
005358;2018-462;2022-530
005359;2022-545;2022-513
005360;2020-990;2022-505
005361;2018-4145;2022-383
005362;2020-3693;2022-374
005363;2018-5176;2022-385
005364;2018-656;2022-386
005365;2018-4675;2022-382
005366;2022-628;2022-515
005367;2018-4527;2022-387
005368;2019-2772;2022-380
005369;2018-4125;2022-377
005370;2018-5782;2022-384
005371;2020-1703;2022-185
005372;2019-197;2022-373
005373;2019-196;2022-372
005374;2019-7010;2022-522
005375;2017-4747;2022-490
005376;2019-3408;2022-516
005377;2017-418;2022-484
005378;2018-1322;2022-511
005379;2017-636;2022-509
005380;2019-9138;2022-518
005381;2022-1183;2022-228
005382;2018-699;2022-526
005383;2022-588;2022-528
005384;2020-5231;2022-502
005385;2021-4819;2022-488
005386;2021-2839;2022-485
005387;2020-3125;2022-503
005388;2021-4816;2022-487
005389;2021-4795;2022-486
005390;2022-223;2022-507
005391;2021-1460;2022-1058
005392;2020-3604;2022-543
005393;2021-4789;2022-396
005394;2019-3023;2022-397
005395;2022-546;2022-514
005396;2018-5386;2022-378
005397;2018-2345;2022-541
005398;2018-148;2022-540
005399;2021-4866;2022-531
005400;2021-5715;2022-532
005401;2022-220;2022-542
005402;2021-3936;2022-530
005403;2021-3082;2022-529
005404;2020-6760;2022-544
005405;2020-5451;2022-549
005406;2018-626;2022-1055
005407;2021-5307;2022-1045
005408;2020-7606;2022-1050
005409;2021-8269;2022-1047
005410;2021-9842;2022-1049
005411;2020-4652;2022-1040
005412;2021-4026;2022-1060
005413;2018-1007;2022-532
005414;2021-3711;2022-535
005415;2018-1227;2022-543
005416;2021-2656;2022-542
005417;2021-3090;2022-537
005418;2018-3919;2022-549
005419;2018-361;2022-544
005420;2018-393;2022-546
005421;2019-9708;2022-540
005422;2021-7370;2022-1052
005423;2021-3286;2022-536
005424;2021-3579;2022-1051
005425;2018-726;2022-1056
005426;2019-13173;2022-1054
005427;2019-962;2022-1031
005428;2021-8012;2022-1035
005429;2019-926;2022-1033
005430;2019-20036;2022-1037
005431;2018-9587;2022-1029
005432;2016-42536;2022-163
005433;2018-424;2022-529
005434;2017-5740;2022-164
005435;2018-686;2022-528
005436;2019-9738;2022-521
005437;2021-3417;2022-1026
005438;2018-7567;2022-1028
005439;2019-2274;2022-1030
005440;2020-815;2022-1024
005441;2021-3640;2022-1027
005442;2019-16794;2022-1032
005443;2019-20682;2022-1034
005444;2018-3510;2022-166
005445;2018-9188;2022-1025
005446;2018-2464;2022-1057
005447;2018-998;2022-525
005448;2018-999;2022-531
005449;2020-3593;2022-548
005450;2020-2008;2022-469
005451;2019-5203;2022-149
005452;2019-5052;2022-153
005453;2019-5067;2022-156
005454;2018-4725;2022-474
005455;2019-1685;2022-329
005456;2018-3870;2022-331
005457;2018-3817;2022-328
005458;2020-881;2022-332
005459;2018-4208;2022-330
005460;2018-1600;2022-367
005461;2018-6852;2022-359
005462;2019-1683;2022-362
005463;2018-1601;2022-368
005464;2018-7049;2022-497
005465;2019-4848;2022-464
005466;2019-5898;2022-128
005467;2019-5779;2022-129
005468;2019-4928;2022-144
005469;2019-4929;2022-143
005470;2019-4947;2022-140
005471;2021-4826;2022-482
005472;2019-4433;2022-138
005473;2019-5902;2022-134
005474;2019-6030;2022-132
005475;2019-4945;2022-141
005476;2021-2503;2022-337
005477;2021-2502;2022-336
005478;2019-119;2022-354
005479;2018-3495;2022-339
005480;2019-118;2022-353
005481;2019-4385;2022-340
005482;2018-4693;2022-338
005483;2021-11524;2022-147
005484;2019-4400;2022-145
005485;2019-4934;2022-139
005486;2022-599;2022-146
005487;2019-5221;2022-154
005488;2018-2885;2022-481
005489;2019-6113;2022-468
005490;2019-5229;2022-151
005491;2019-5442;2022-150
005492;2019-4930;2022-142
005493;2018-1526;2022-326
005494;2018-2439;2022-324
005495;2018-905;2022-480
005496;2019-4379;2022-463
005497;2020-6049;2022-478
005498;2019-4959;2022-465
005499;2019-5778;2022-135
005500;2019-4371;2022-462
005501;2019-5598;2022-466
005502;2019-3971;2022-461
005503;2021-6546;2022-472
005504;2019-5061;2022-155
005505;2018-6227;2022-496
005506;2019-5449;2022-152
005507;2017-6256;2022-473
005508;2019-5916;2022-137
005509;2019-6034;2022-133
005510;2022-1265;2022-125
005511;2019-5900;2022-130
005512;2021-11871;2022-122
005513;2019-6034;2022-133
005514;2019-5773;2022-131
005515;2019-5920;2022-136
005516;2021-11874;2022-124
005517;2019-21318;2022-978
005518;2019-236;2022-510
005519;2018-7808;2022-977
005520;2017-3467;2022-960
005521;2019-20507;2022-973
005522;2019-17728;2022-964
005523;2018-5743;2022-971
005524;2017-8396;2022-959
005525;2018-1791;2022-976
005526;2017-8327;2022-958
005527;2018-1796;2022-457
005528;2018-472;2022-456
005529;2018-6471;2022-455
005530;2018-3931;2022-353
005531;2022-438;2022-471
005532;2018-4793;2022-460
005533;2018-4781;2022-458
005534;2022-343;2022-470
005535;2019-6212;2022-356
005536;2020-2399;2022-357
005537;2019-6523;2022-355
005538;2018-5714;2022-363
005539;2019-112;2022-358
005540;2019-1170;2022-365
005541;2018-508;2022-361
005542;2019-1168;2022-323
005543;2019-2069;2022-344
005544;2018-266;2022-342
005545;2018-4373;2022-341
005546;2022-25;2022-333
005547;2019-718;2022-352
005548;2018-18;2022-325
005549;2018-2572;2022-360
005550;2018-78;2022-367
005551;2018-2612;2022-343
005552;2018-4624;2022-364
005553;2019-4098;2022-350
005554;2019-2182;2022-351
005555;2018-1355;2022-348
005556;2019-5590;2022-349
005557;2018-74;2022-366
005558;2018-1354;2022-347
005559;2018-2611;2022-345
005560;2018-1644;2022-366
005561;2020-5018;2022-346
005562;2020-4991;2022-511
005563;2018-1710;2022-352
005564;2018-1882;2022-477
005565;2018-1883;2022-478
005566;2019-6110;2022-467
005567;2018-1879;2022-475
005568;2018-1280;2022-474
005569;2018-1616;2022-370
005570;2018-1123;2022-365
005571;2018-1145;2022-369
005572;2018-1884;2022-479
005573;2018-3669;2022-327
005574;2018-6228;2022-491
005575;2021-8208;2022-1011
005576;2021-9849;2022-1012
005577;2021-5681;2022-1002
005578;2022-77;2022-1010
005579;2022-583;2022-990
005580;2021-8220;2022-991
005581;2021-535;2022-992
005582;2022-499;2022-989
005583;2022-504;2022-985
005584;2021-4939;2022-968
005585;2022-609;2022-986
005586;2022-614;2022-987
005587;2022-490;2022-988
005588;2022-503;2022-984
005589;2021-6689;2022-1009
005590;2021-4499;2022-1008
005591;2021-6555;2022-1007
005592;2021-7853;2022-965
005593;2022-501;2022-1004
005594;2020-7621;2022-967
005595;2021-9685;2022-952
005596;2019-16799;2022-996
005597;2021-6364;2022-993
005598;2020-7866;2022-957
005599;2019-21504;2022-962
005600;2022-400;2022-998
005601;2021-8046;2022-999
005602;2021-9093;2022-969
005603;2019-15781;2022-955
005604;2021-10386;2022-1000
005605;2021-10087;2022-997
005606;2021-11254;2022-953
005607;2020-5930;2022-954
005608;2021-4649;2022-966
005609;2022-482;2022-1003
005610;2018-8883;2022-956
005611;2021-5490;2022-1006
005612;2021-10079;2022-1001
005613;2021-736;2022-994
005614;2020-10364;2022-963
005615;2021-735;2022-995
005616;2017-903;2022-961
005617;2021-11212;2022-975
005618;2019-2258;2022-322
005619;2019-920;2022-972
005620;2021-9666;2022-951
005621;2022-471;2022-504
005622;2018-4833;2022-498
005623;2018-4763;2022-499
005624;2018-2387;2022-503
005625;2018-6225;2022-493
005626;2018-1564;2022-501
005627;2018-4657;2022-495
005628;2018-2270;2022-502
005629;2018-4712;2022-500
005630;2018-3307;2022-507
005631;2016-58998;2022-120
005632;2018-4430;2022-516
005633;2018-4429;2022-517
005634;2018-2209;2022-473
005635;2018-1707;2022-476
005636;2018-6229;2022-492
005637;2018-9101;2022-514
005638;2021-3401;2022-519
005639;2018-817;2022-483
005640;2018-1903;2022-471
005641;2021-6934;2022-508
005642;2018-1863;2022-518
005643;2018-4249;2022-513
005644;2018-3681;2022-509
005645;2022-589;2022-981
005646;2022-402;2022-983
005647;2018-249;2022-486
005648;2018-2647;2022-466
005649;2019-5477;2022-160
005650;2018-4205;2022-270
005651;2018-1813;2022-274
005652;2019-1728;2022-439
005653;2019-1856;2022-263
005654;2018-2739;2022-315
005655;2018-4218;2022-318
005656;2018-3704;2022-314
005657;2019-1757;2022-264
005658;2018-2797;2022-316
005659;2018-4521;2022-273
005660;2018-2991;2022-317
005661;2018-1172;2022-296
005662;2019-4272;2022-336
005663;2021-3999;2022-286
005664;2018-1144;2022-298
005665;2021-3998;2022-279
005666;2021-3997;2022-281
005667;2019-658;2022-287
005668;2018-1249;2022-297
005669;2018-1171;2022-289
005670;2019-672;2022-288
005671;2021-4001;2022-278
005672;2022-382;2022-449
005673;2019-4271;2022-335
005674;2019-4270;2022-333
005675;2018-4399;2022-276
005676;2021-2677;2022-285
005677;2018-4223;2022-275
005678;2018-2758;2022-269
005679;2019-2259;2022-265
005680;2018-1377;2022-282
005681;2018-2331;2022-283
005682;2021-4000;2022-277
005683;2018-5334;2022-271
005684;2019-3345;2022-266
005685;2021-1553;2022-284
005686;2020-5676;2022-412
005687;2020-2891;2022-409
005688;2022-239;2022-101
005689;2021-9090;2022-420
005690;2019-2372;2022-445
005691;2018-2849;2022-291
005692;2018-988;2022-292
005693;2019-94;2022-290
005694;2018-989;2022-293
005695;2018-1170;2022-299
005696;2018-5351;2022-295
005697;2019-2269;2022-262
005698;2018-3501;2022-272
005699;2018-6172;2022-320
005700;2022-226;2022-441
005701;2021-8084;2022-444
005702;2022-1203;2022-102
005703;2020-2492;2022-110
005704;2020-3795;2022-111
005705;2020-5794;2022-109
005706;2021-10220;2022-948
005707;2021-5274;2022-898
005708;2019-3521;2022-396
005709;2020-2313;2022-418
005710;2020-3067;2022-414
005711;2020-7687;2022-421
005712;2018-6920;2022-400
005713;2020-2631;2022-411
005714;2019-3515;2022-434
005715;2020-6730;2022-399
005716;2018-2530;2022-401
005717;2019-9200;2022-413
005718;2020-1501;2022-398
005719;2021-3094;2022-417
005720;2018-5870;2022-937
005721;2020-5235;2022-439
005722;2021-4744;2022-429
005723;2020-5489;2022-451
005724;2022-384;2022-447
005725;2020-2805;2022-453
005726;2022-392;2022-450
005727;2022-265;2022-437
005728;2020-2859;2022-452
005729;2021-3749;2022-321
005730;2018-4616;2022-319
005731;2019-1031;2022-433
005732;2022-184;2022-928
005733;2019-15871;2022-918
005734;2019-11767;2022-907
005735;2019-15872;2022-919
005736;2021-6540;2022-436
005737;2020-4966;2022-894
005738;2020-10794;2022-895
005739;2019-4813;2022-442
005740;2019-5518;2022-447
005741;2022-345;2022-897
005742;2020-1210;2022-452
005743;2019-6341;2022-441
005744;2018-6820;2022-267
005745;2021-6923;2022-423
005746;2021-6693;2022-426
005747;2018-7859;2022-444
005748;2018-5446;2022-446
005749;2019-5586;2022-440
005750;2019-3846;2022-435
005751;2018-6019;2022-438
005752;2017-194;2022-402
005753;2018-4455;2022-395
005754;2019-14270;2022-908
005755;2019-9575;2022-397
005756;2018-1420;2022-394
005757;2018-2369;2022-398
005758;2018-864;2022-402
005759;2018-3696;2022-401
005760;2018-2368;2022-397
005761;2018-3051;2022-400
005762;2020-5186;2022-418
005763;2018-166;2022-405
005764;2018-2360;2022-395
005765;2018-2388;2022-399
005766;2018-165;2022-404
005767;2021-655;2022-905
005768;2021-8464;2022-906
005769;2022-242;2022-920
005770;2021-10504;2022-900
005771;2019-12449;2022-912
005772;2019-15553;2022-902
005773;2019-16652;2022-916
005774;2019-15384;2022-909
005775;2019-16649;2022-915
005776;2019-20223;2022-932
005777;2019-15873;2022-914
005778;2019-13720;2022-913
005779;2019-19863;2022-931
005780;2019-14532;2022-933
005781;2021-2310;2022-917
005782;2021-10899;2022-896
005783;2020-3446;2022-899
005784;2021-2647;2022-901
005785;2020-914;2022-892
005786;2020-11387;2022-903
005787;2021-1844;2022-904
005788;2021-9794;2022-934
005789;2020-10275;2022-940
005790;2021-2908;2022-938
005791;2018-2655;2022-416
005792;2018-4988;2022-428
005793;2021-4075;2022-424
005794;2018-2652;2022-414
005795;2018-168;2022-407
005796;2018-2244;2022-408
005797;2018-4976;2022-417
005798;2018-164;2022-403
005799;2021-9203;2022-422
005800;2018-4439;2022-429
005801;2018-2651;2022-413
005802;2018-2559;2022-411
005803;2018-2650;2022-412
005804;2018-2246;2022-410
005805;2018-2245;2022-409
005806;2018-2654;2022-415
005807;2018-167;2022-406
005808;2018-2653;2022-419
005809;2021-8575;2022-425
005810;2018-4940;2022-430
005811;2020-2513;2022-922
005812;2018-278;2022-941
005813;2021-11127;2022-939
005814;2021-10791;2022-950
005815;2020-2195;2022-910
005816;2021-8759;2022-925
005817;2019-17750;2022-949
005818;2021-10993;2022-946
005819;2018-1479;2022-393
005820;2018-2367;2022-396
005821;2018-1240;2022-392
005822;2018-1614;2022-394
005823;2019-469;2022-268
005824;2019-9448;2022-448
005825;2018-4987;2022-431
005826;2018-2150;2022-433
005827;2019-16206;2022-947
005828;2018-5119;2022-435
005829;2018-1157;2022-432
005830;2018-4694;2022-434
005831;2021-2308;2022-921
005832;2019-9453;2022-451
005833;2019-7724;2022-436
005834;2020-336;2022-437
005835;2019-6211;2022-226
005836;2018-4810;2022-230
005837;2019-2072;2022-224
005838;2018-4222;2022-252
005839;2018-1855;2022-233
005840;2018-3666;2022-251
005841;2018-3261;2022-249
005842;2018-2691;2022-253
005843;2018-5917;2022-255
005844;2019-790;2022-245
005845;2018-5640;2022-254
005846;2018-6162;2022-250
005847;2019-385;2022-246
005848;2018-5352;2022-225
005849;2018-5687;2022-232
005850;2018-2312;2022-231
005851;2019-5425;2022-229
005852;2018-35;2022-363
005853;2018-330;2022-320
005854;2019-5838;2022-305
005855;2018-6177;2022-258
005856;2019-5328;2022-244
005857;2019-2778;2022-243
005858;2018-1038;2022-319
005859;2019-4589;2022-248
005860;2018-1697;2022-259
005861;2019-6436;2022-247
005862;2021-368;2022-257
005863;2019-380;2022-260
005864;2019-3456;2022-261
005865;2018-4126;2022-227
005866;2018-1807;2022-228
005867;2018-6413;2022-242
005868;2018-9323;2022-364
005869;2019-4059;2022-239
005870;2018-3238;2022-358
005871;2018-5444;2022-234
005872;2022-482;2022-361
005873;2020-1351;2022-88
005874;2020-1356;2022-86
005875;2020-1353;2022-89
005876;2020-1358;2022-90
005877;2018-375;2022-370
005878;2018-39;2022-371
005879;2019-5372;2022-373
005880;2018-8560;2022-372
005881;2018-4292;2022-379
005882;2018-9119;2022-376
005883;2020-1369;2022-87
005884;2018-5407;2022-237
005885;2018-3296;2022-355
005886;2018-3889;2022-353
005887;2018-25;2022-365
005888;2018-3912;2022-354
005889;2021-5662;2022-360
005890;2018-22;2022-362
005891;2018-3297;2022-359
005892;2018-3894;2022-356
005893;2018-7421;2022-366
005894;2018-3228;2022-357
005895;2020-4994;2022-377
005896;2021-7263;2022-381
005897;2021-8385;2022-367
005898;2019-1529;2022-303
005899;2019-4107;2022-380
005900;2018-1001;2022-386
005901;2018-146;2022-389
005902;2019-4327;2022-382
005903;2018-1002;2022-387
005904;2018-848;2022-384
005905;2018-1000;2022-385
005906;2018-18;2022-369
005907;2018-4232;2022-304
005908;2018-1412;2022-174
005909;2022-58;2022-177
005910;2018-1099;2022-173
005911;2018-1098;2022-172
005912;2018-1096;2022-170
005913;2018-5364;2022-175
005914;2018-1097;2022-171
005915;2018-1477;2022-217
005916;2018-1351;2022-176
005917;2021-3751;2022-190
005918;2021-3987;2022-189
005919;2018-3196;2022-297
005920;2019-4988;2022-375
005921;2019-4822;2022-377
005922;2020-1453;2022-372
005923;2021-6904;2022-378
005924;2019-9655;2022-373
005925;2017-1683;2022-374
005926;2021-11285;2022-59
005927;2021-3532;2022-208
005928;2022-229;2022-381
005929;2021-11455;2022-68
005930;2022-119;2022-60
005931;2019-3087;2022-166
005932;2018-2442;2022-285
005933;2021-8087;2022-367
005934;2021-1190;2022-277
005935;2021-4818;2022-307
005936;2018-4372;2022-312
005937;2018-1365;2022-310
005938;2021-7685;2022-379
005939;2021-11465;2022-70
005940;2022-652;2022-64
005941;2022-753;2022-65
005942;2022-491;2022-316
005943;2022-1153;2022-66
005944;2021-10741;2022-57
005945;2021-8783;2022-56
005946;2021-4820;2022-308
005947;2019-808;2022-55
005948;2017-4191;2022-304
005949;2022-525;2022-309
005950;2018-4431;2022-325
005951;2018-4446;2022-326
005952;2019-7914;2022-314
005953;2018-4774;2022-324
005954;2021-4805;2022-306
005955;2020-5659;2022-313
005956;2018-1694;2022-343
005957;2018-4379;2022-327
005958;2018-3088;2022-321
005959;2018-3273;2022-322
005960;2018-4381;2022-323
005961;2018-6700;2022-311
005962;2020-481;2022-305
005963;2019-9390;2022-317
005964;2020-5675;2022-315
005965;2021-3988;2022-191
005966;2018-2298;2022-218
005967;2019-1313;2022-860
005968;2020-908;2022-344
005969;2019-11779;2022-866
005970;2021-9108;2022-884
005971;2019-16175;2022-862
005972;2019-15284;2022-863
005973;2019-1929;2022-875
005974;2019-16540;2022-876
005975;2018-7760;2022-865
005976;2019-22061;2022-877
005977;2019-17032;2022-864
005978;2018-3498;2022-883
005979;2019-14878;2022-891
005980;2019-12960;2022-868
005981;2019-21978;2022-867
005982;2019-21542;2022-889
005983;2018-6770;2022-886
005984;2019-15707;2022-880
005985;2020-4105;2022-890
005986;2019-15659;2022-874
005987;2021-124;2022-878
005988;2018-7212;2022-887
005989;2018-1730;2022-211
005990;2018-4246;2022-216
005991;2022-255;2022-240
005992;2018-6483;2022-212
005993;2019-3813;2022-169
005994;2019-3640;2022-167
005995;2018-7671;2022-881
005996;2020-1594;2022-382
005997;2020-1341;2022-370
005998;2019-21061;2022-888
005999;2020-4727;2022-380
006000;2021-8106;2022-357
006001;2021-8088;2022-362
006002;2021-2368;2022-355
006003;2021-7893;2022-365
006004;2020-2208;2022-368
006005;2021-7909;2022-364
006006;2021-8105;2022-358
006007;2020-1599;2022-369
006008;2022-53;2022-361
006009;2020-5624;2022-354
006010;2021-8081;2022-363
006011;2021-8104;2022-359
006012;2021-1152;2022-262
006013;2021-6810;2022-858
006014;2020-8029;2022-855
006015;2021-4182;2022-853
006016;2021-4183;2022-857
006017;2019-21353;2022-872
006018;2021-4175;2022-854
006019;2020-6198;2022-856
006020;2021-5035;2022-859
006021;2021-2306;2022-852
006022;2019-17688;2022-869
006023;2019-2634;2022-123
006024;2018-144;2022-215
006025;2021-3927;2022-850
006026;2021-4177;2022-849
006027;2018-6076;2022-210
006028;2019-13155;2022-870
006029;2019-3812;2022-168
006030;2019-13270;2022-879
006031;2021-4576;2022-851
006032;2021-3179;2022-178
006033;2021-3178;2022-179
006034;2018-6077;2022-209
006035;2018-6079;2022-208
006036;2019-350;2022-124
006037;2021-10040;2022-69
006038;2018-2588;2022-295
006039;2018-3050;2022-294
006040;2018-1244;2022-292
006041;2018-362;2022-296
006042;2018-3896;2022-298
006043;2018-2449;2022-299
006044;2018-5127;2022-300
006045;2018-544;2022-281
006046;2018-1454;2022-293
006047;2021-3865;2022-274
006048;2018-1712;2022-283
006049;2018-1272;2022-282
006050;2019-12073;2022-873
006051;2018-4438;2022-284
006052;2021-2768;2022-190
006053;2020-674;2022-254
006054;2021-3437;2022-111
006055;2018-3322;2022-134
006056;2022-69;2022-127
006057;2018-6118;2022-129
006058;2018-6119;2022-128
006059;2018-6427;2022-113
006060;2018-802;2022-130
006061;2018-804;2022-299
006062;2021-4268;2022-255
006063;2021-4581;2022-261
006064;2020-1078;2022-114
006065;2020-2908;2022-141
006066;2020-3370;2022-148
006067;2022-99;2022-162
006068;2022-3;2022-110
006069;2021-2892;2022-191
006070;2019-4970;2022-160
006071;2021-3948;2022-141
006072;2019-4956;2022-161
006073;2019-4972;2022-158
006074;2021-2161;2022-250
006075;2021-2192;2022-182
006076;2021-2592;2022-188
006077;2018-4190;2022-249
006078;2020-5853;2022-258
006079;2018-3353;2022-300
006080;2022-589;2022-40
006081;2020-3263;2022-47
006082;2020-6350;2022-278
006083;2018-6886;2022-298
006084;2020-4932;2022-293
006085;2020-7825;2022-286
006086;2020-3753;2022-291
006087;2020-5756;2022-285
006088;2020-395;2022-292
006089;2020-1132;2022-297
006090;2021-3225;2022-272
006091;2021-3019;2022-271
006092;2021-920;2022-287
006093;2021-6765;2022-296
006094;2021-3496;2022-273
006095;2019-16430;2022-803
006096;2018-3075;2022-837
006097;2019-13855;2022-816
006098;2021-9847;2022-835
006099;2019-16469;2022-819
006100;2019-16468;2022-821
006101;2019-14584;2022-818
006102;2021-8798;2022-838
006103;2019-13848;2022-834
006104;2020-8411;2022-841
006105;2021-259;2022-180
006106;2021-10995;2022-786
006107;2018-295;2022-836
006108;2021-8254;2022-787
006109;2021-10199;2022-788
006110;2021-4385;2022-237
006111;2019-11729;2022-847
006112;2019-17615;2022-846
006113;2020-9990;2022-833
006114;2019-14988;2022-842
006115;2019-19384;2022-840
006116;2019-16845;2022-844
006117;2021-4527;2022-239
006118;2016-2823;2022-230
006119;2021-7111;2022-206
006120;2021-2513;2022-186
006121;2021-3456;2022-238
006122;2020-2242;2022-233
006123;2022-91;2022-232
006124;2019-3719;2022-227
006125;2019-21060;2022-812
006126;2019-1134;2022-222
006127;2021-5127;2022-226
006128;2019-21902;2022-813
006129;2018-3085;2022-830
006130;2022-409;2022-807
006131;2019-20801;2022-810
006132;2020-2613;2022-267
006133;2018-8726;2022-831
006134;2020-9097;2022-839
006135;2019-15388;2022-809
006136;2019-20894;2022-811
006137;2020-6700;2022-799
006138;2019-12693;2022-808
006139;2020-3078;2022-804
006140;2021-10788;2022-789
006141;2019-19385;2022-815
006142;2020-2728;2022-268
006143;2021-2324;2022-270
006144;2020-4927;2022-269
006145;2022-414;2022-277
006146;2021-7785;2022-276
006147;2019-11793;2022-817
006148;2018-7675;2022-829
006149;2019-186;2022-794
006150;2019-11987;2022-796
006151;2021-4886;2022-234
006152;2019-3442;2022-217
006153;2020-5160;2022-824
006154;2019-20545;2022-792
006155;2019-13856;2022-820
006156;2018-9494;2022-800
006157;2020-7934;2022-814
006158;2020-5152;2022-822
006159;2021-8814;2022-791
006160;2018-6764;2022-1064
006161;2021-6507;2022-797
006162;2019-18321;2022-793
006163;2020-8907;2022-795
006164;2021-8307;2022-233
006165;2021-7799;2022-226
006166;2021-3325;2022-802
006167;2021-1186;2022-805
006168;2019-21063;2022-823
006169;2021-2535;2022-801
006170;2020-6090;2022-825
006171;2018-8901;2022-790
006172;2018-9077;2022-798
006173;2020-973;2022-253
006174;2016-7012;2022-1063
006175;2018-3824;2022-826
006176;2020-8926;2022-1062
006177;2022-159;2022-848
006178;2018-1995;2022-827
006179;2018-1530;2022-828
006180;2018-2447;2022-832
006181;2021-5647;2022-284
006182;2021-8306;2022-215
006183;2021-4038;2022-251
006184;2019-17807;2022-845
006185;2021-4691;2022-252
006186;2018-1983;2022-261
006187;2018-1395;2022-262
006188;2018-1321;2022-260
006189;2018-5239;2022-264
006190;2018-3333;2022-263
006191;2021-3633;2022-77
006192;2019-3634;2022-266
006193;2019-3633;2022-265
006194;2019-897;2022-268
006195;2018-1030;2022-267
006196;2022-57;2022-51
006197;2018-530;2022-68
006198;2018-810;2022-91
006199;2018-6691;2022-69
006200;2018-4554;2022-109
006201;2021-1850;2022-49
006202;2018-4561;2022-238
006203;2018-5402;2022-90
006204;2018-2295;2022-66
006205;2018-808;2022-92
006206;2018-246;2022-93
006207;2021-3705;2022-80
006208;2017-4162;2022-210
006209;2022-39;2022-48
006210;2020-149;2022-50
006211;2019-7469;2022-52
006212;2019-7597;2022-53
006213;2019-7468;2022-51
006214;2018-915;2022-89
006215;2018-1861;2022-67
006216;2021-8052;2022-212
006217;2021-10104;2022-37
006218;2020-7723;2022-199
006219;2021-11890;2022-13
006220;2021-10826;2022-34
006221;2021-11731;2022-14
006222;2022-191;2022-12
006223;2021-10105;2022-33
006224;2021-9615;2022-36
006225;2021-9142;2022-35
006226;2020-5777;2022-196
006227;2020-1361;2022-111
006228;2020-3072;2022-704
006229;2018-6665;2022-703
006230;2017-5471;2022-708
006231;2018-6746;2022-701
006232;2021-8647;2022-706
006233;2019-18034;2022-719
006234;2020-3414;2022-705
006235;2018-6714;2022-700
006236;2019-13177;2022-641
006237;2018-6723;2022-592
006238;2019-235;2022-595
006239;2019-17242;2022-609
006240;2019-1290;2022-608
006241;2021-9451;2022-601
006242;2020-8820;2022-600
006243;2019-18023;2022-598
006244;2019-7001;2022-109
006245;2020-8819;2022-599
006246;2021-2253;2022-382
006247;2021-2309;2022-384
006248;2021-2294;2022-383
006249;2021-2327;2022-385
006250;2019-14884;2022-655
006251;2019-18136;2022-551
006252;2018-866;2022-593
006253;2019-952;2022-721
006254;2019-15582;2022-784
006255;2019-22088;2022-783
006256;2019-246;2022-541
006257;2019-12005;2022-572
006258;2019-15001;2022-577
006259;2017-2884;2022-181
006260;2019-15024;2022-578
006261;2021-11180;2022-750
006262;2019-14863;2022-762
006263;2019-14833;2022-761
006264;2021-3002;2022-751
006265;2021-11213;2022-746
006266;2021-9683;2022-782
006267;2018-4358;2022-558
006268;2020-10059;2022-616
006269;2020-10377;2022-621
006270;2020-10222;2022-618
006271;2022-325;2022-617
006272;2021-11046;2022-613
006273;2018-8536;2022-576
006274;2020-10341;2022-620
006275;2021-5339;2022-185
006276;2021-3594;2022-568
006277;2021-6184;2022-785
006278;2021-1141;2022-623
006279;2021-2390;2022-624
006280;2019-19815;2022-594
006281;2018-8488;2022-575
006282;2020-9968;2022-622
006283;2018-9003;2022-539
006284;2021-240;2022-625
006285;2021-2242;2022-381
006286;2015-4005;2022-712
006287;2019-20681;2022-781
006288;2021-11121;2022-767
006289;2019-6;2022-636
006290;2019-15042;2022-579
006291;2019-17360;2022-779
006292;2019-19138;2022-780
006293;2019-1333;2022-635
006294;2018-9530;2022-633
006295;2021-9477;2022-628
006296;2018-9318;2022-632
006297;2017-5895;2022-659
006298;2021-10708;2022-749
006299;2020-8482;2022-766
006300;2020-10634;2022-747
006301;2022-306;2022-615
006302;2020-2608;2022-614
006303;2022-121;2022-778
006304;2021-2649;2022-626
006305;2019-20165;2022-646
006306;2018-4344;2022-743
006307;2018-6775;2022-725
006308;2018-3174;2022-560
006309;2018-2156;2022-760
006310;2015-3433;2022-563
006311;2018-2646;2022-537
006312;2021-10234;2022-748
006313;2021-11124;2022-768
006314;2020-6363;2022-765
006315;2021-7002;2022-627
006316;2018-3168;2022-198
