TXT DosyaNo;esasNo;kararNo
000345;2021-5791;2022-2269
000346;2021-5612;2022-2232
000347;2021-6109;2022-2279
000348;2021-5579;2022-2234
000349;2021-1136;2022-2219
000350;2021-5623;2022-2224
000351;2021-6098;2022-2259
000352;2021-806;2022-1804
000353;2019-489;2022-1788
000354;2019-670;2022-1786
000355;2019-669;2022-1787
000356;2020-2362;2022-1791
000357;2021-807;2022-1803
000358;2017-2130;2022-2550
000359;2017-2129;2022-2549
000360;2021-6385;2022-2251
000361;2018-3277;2022-2552
000362;2021-1835;2022-1819
000363;2018-3209;2022-2551
000364;2019-2010;2022-2555
000365;2022-1397;2022-4729
000366;2019-2039;2022-2557
000367;2019-1222;2022-1782
000368;2021-563;2022-1781
000369;2019-3968;2022-1784
000370;2021-808;2022-1805
000371;2020-1516;2022-490
000372;2018-8055;2022-4594
000373;2022-3870;2022-2154
000374;2021-6467;2022-2162
000375;2022-3861;2022-2145
000376;2021-6729;2022-2159
000377;2022-4769;2022-2156
000378;2021-6684;2022-2171
000379;2020-1765;2022-1614
000380;2021-6703;2022-2176
000381;2021-890;2022-535
000382;2021-6463;2022-2158
000383;2021-6768;2022-2157
000384;2018-1820;2022-2629
000385;2021-885;2022-533
000386;2021-6610;2022-2163
000387;2022-257;2022-496
000388;2022-259;2022-479
000389;2020-1419;2022-492
000390;2021-6760;2022-2168
000391;2021-6667;2022-2167
000392;2021-6618;2022-2164
000393;2020-1627;2022-494
000394;2021-886;2022-534
000395;2021-6731;2022-2178
000396;2021-161;2022-471
000397;2020-1628;2022-456
000398;2021-126;2022-470
000399;2020-1331;2022-381
000400;2022-58;2022-379
000401;2021-891;2022-536
000402;2021-904;2022-459
000403;2021-902;2022-457
000404;2021-905;2022-460
000405;2021-901;2022-455
000406;2022-446;2022-473
000407;2020-1626;2022-495
000408;2022-258;2022-487
000409;2021-6772;2022-2170
000410;2020-1418;2022-497
000411;2021-903;2022-458
000412;2020-1530;2022-488
000413;2021-6810;2022-2169
000414;2022-293;2022-382
000415;2020-1534;2022-375
000416;2019-12351;2022-4682
000417;2021-6627;2022-2165
000418;2019-12362;2022-4683
000419;2021-6759;2022-2166
000420;2020-1611;2022-552
000421;2022-230;2022-542
000422;2021-897;2022-540
000423;2022-304;2022-546
000424;2020-1517;2022-491
000425;2021-140;2022-548
000426;2022-121;2022-541
000427;2021-898;2022-537
000428;2020-1609;2022-550
